Latitude,Longitude,Station_Name,Line
43.63802031,-79.53638812,Kipling,Bloor-Danforth
43.64595008,-79.52394798,Islington,Bloor-Danforth
43.64880444,-79.51154051,Royal York,Bloor-Danforth
43.65057649,-79.49522499,Old Mill,Bloor-Danforth
43.65029127,-79.48477178,Jane,Bloor-Danforth
43.65216695,-79.47649916,Runnymede,Bloor-Danforth
43.65459423,-79.46552962,High Park,Bloor-Danforth
43.65570079,-79.46031548,Keele,Bloor-Danforth
43.65714206,-79.45267843,Dundas West,Bloor-Danforth
43.65914292,-79.44296991,Lansdowne,Bloor-Danforth
43.6606651,-79.4359558,Dufferin,Bloor-Danforth
43.66266333,-79.42615682,Ossington,Bloor-Danforth
43.66425178,-79.41869303,Christie,Bloor-Danforth
43.66599176,-79.41158255,Bathurst,Bloor-Danforth
43.66764776,-79.4037584,Spadina,Bloor-Danforth
43.66831164,-79.39864323,St George,Bloor-Danforth
43.67040029,-79.39027029,Bay,Bloor-Danforth
43.67070606,-79.38587981,Yonge,Bloor-Danforth
43.67234508,-79.37698161,Sherbourne,Bloor-Danforth
43.67414063,-79.36879416,Castle Frank,Bloor-Danforth
43.67686172,-79.35852385,Broadview,Bloor-Danforth
43.67837735,-79.35141628,Chester,Bloor-Danforth
43.67968493,-79.34520853,Pape,Bloor-Danforth
43.68105008,-79.33792557,Donlands,Bloor-Danforth
43.68270361,-79.33027644,Greenwood,Bloor-Danforth
43.68414917,-79.32352724,Coxwell,Bloor-Danforth
43.6863529,-79.31335711,Woodbine,Bloor-Danforth
43.68891661,-79.30272876,Main Street,Bloor-Danforth
43.69432082,-79.29031894,Victoria Park,Bloor-Danforth
43.71224201,-79.27898037,Warden,Bloor-Danforth
43.73211815,-79.26569845,Kennedy,Bloor-Danforth
43.76161811,-79.41098864,Sheppard-Yonge,Sheppard-Yonge
43.76725222,-79.38739865,Bayview,Sheppard-Yonge
43.76912679,-79.37672419,Bessarion,Sheppard-Yonge
43.77113245,-79.36741635,Leslie,Sheppard-Yonge
43.77556464,-79.34693642,Don Mills,Sheppard-Yonge
43.73219165,-79.26569632,Kennedy,Scarborough RT
43.7502148,-79.27090721,Lawrence East,Scarborough RT
43.76722615,-79.27731467,Ellesmere,Scarborough RT
43.77016839,-79.27248232,Midland,Scarborough RT
43.77384411,-79.25786316,Scarborough Centre,Scarborough RT
43.77551255,-79.25154339,McCowan,Scarborough RT
43.75005381,-79.46234274,Downsview,University-Spadina
43.73458062,-79.44992871,Wilson,University-Spadina
43.72481302,-79.44750946,Yorkdale,University-Spadina
43.71638143,-79.44402915,Lawrence West,University-Spadina
43.70981996,-79.44152842,Glencairn,University-Spadina
43.69899665,-79.43598953,Eglinton West,University-Spadina
43.68435203,-79.41453588,St Clair West,University-Spadina
43.67490988,-79.40725667,Dupont,University-Spadina
43.66771459,-79.40375197,Spadina,University-Spadina
43.66831877,-79.39867229,St George,University-Spadina
43.66717707,-79.39350223,Museum,University-Spadina
43.65970495,-79.39034904,Queen's Park,University-Spadina
43.65461164,-79.38829598,St Patrick,University-Spadina
43.65087411,-79.38661732,Osgoode,University-Spadina
43.64764565,-79.38513048,St Andrew,University-Spadina
43.64572267,-79.38046226,Union,University-Spadina
43.64912088,-79.37804513,King,University-Spadina
43.65234651,-79.3793265,Queen,University-Spadina
43.65613653,-79.38072965,Dundas,University-Spadina
43.66122997,-79.38278217,College,University-Spadina
43.66518294,-79.38377079,Wellesley,University-Spadina
43.670672,-79.38595009,Bloor,University-Spadina
43.67690095,-79.38872589,Rosedale,University-Spadina
43.68245,-79.39117824,Summerhill,University-Spadina
43.68816298,-79.39328435,St Clair,University-Spadina
43.69812339,-79.39733141,Davisville,University-Spadina
43.70664584,-79.39915846,Eglinton,University-Spadina
43.72542192,-79.40187758,Lawrence,University-Spadina
43.74499592,-79.40533068,York Mills,University-Spadina
43.76167434,-79.41098715,Sheppard,University-Spadina
43.76924125,-79.4129116,North York Centre,University-Spadina
43.78149012,-79.41567261,Finch,University-Spadina
43.6875,-79.48722222,Mount Dennis,Line-5-Eglinton
43.69027778,-79.475,Keelesdale,Line-5-Eglinton
43.69222222,-79.46555556,Caledonia,Line-5-Eglinton
43.69555556,-79.45,Fairbank,Line-5-Eglinton
43.69722222,-79.44305556,Oakwood,Line-5-Eglinton
43.69916667,-79.43583333,Cedarvale (Eglinton West),Line-5-Eglinton
43.70111111,-79.42527778,Forest Hill,Line-5-Eglinton
43.70277778,-79.41722222,Chaplin,Line-5-Eglinton
43.70472222,-79.40777778,Avenue,Line-5-Eglinton
43.70583333,-79.39833333,Eglinton,Line-5-Eglinton
43.70838889,-79.39016667,Mount Pleasant,Line-5-Eglinton
43.71111111,-79.37694444,Leaside,Line-5-Eglinton
43.71333333,-79.365,Laird,Line-5-Eglinton
43.71722222,-79.34944444,Sunnybrook Park,Line-5-Eglinton
43.72055556,-79.33888889,Science Centre,Line-5-Eglinton
43.7225,-79.3325,Aga Khan Park & Museum,Line-5-Eglinton
43.72416667,-79.32611111,Wynford,Line-5-Eglinton
43.72583333,-79.3125,Sloane,Line-5-Eglinton
43.72472222,-79.30166667,O'Connor,Line-5-Eglinton
43.72583333,-79.29694444,Pharmacy,Line-5-Eglinton
43.72694444,-79.29166667,Hakimi Lebovic,Line-5-Eglinton
43.72777778,-79.28777778,Golden Mile,Line-5-Eglinton
43.73,-79.27777778,Birchmount,Line-5-Eglinton
43.73138889,-79.27166667,Ionview,Line-5-Eglinton
43.7325,-79.26361111,Kennedy,Line-5-Eglinton
